source_id,journal_name,year,count
S60621485,Sociological Theory,2004,42
S60621485,Sociological Theory,2000,39
S60621485,Sociological Theory,2009,35
S60621485,Sociological Theory,1992,31
S60621485,Sociological Theory,1999,31
S60621485,Sociological Theory,2003,31
S60621485,Sociological Theory,2024,31
S60621485,Sociological Theory,2002,30
S60621485,Sociological Theory,1991,27
S60621485,Sociological Theory,2010,27
S60621485,Sociological Theory,2007,25
S60621485,Sociological Theory,1985,24
S60621485,Sociological Theory,1994,24
S60621485,Sociological Theory,1998,24
S60621485,Sociological Theory,2008,24
S60621485,Sociological Theory,2020,24
S60621485,Sociological Theory,2006,23
S60621485,Sociological Theory,2025,23
S60621485,Sociological Theory,1997,22
S60621485,Sociological Theory,2005,22
S60621485,Sociological Theory,2011,22
S60621485,Sociological Theory,1989,21
S60621485,Sociological Theory,1993,21
S60621485,Sociological Theory,2018,20
S60621485,Sociological Theory,1987,19
S60621485,Sociological Theory,1988,19
S60621485,Sociological Theory,2017,19
S60621485,Sociological Theory,2023,19
S60621485,Sociological Theory,1986,18
S60621485,Sociological Theory,1995,18
S60621485,Sociological Theory,2014,18
S60621485,Sociological Theory,2016,18
S60621485,Sociological Theory,2019,18
S60621485,Sociological Theory,2012,17
S60621485,Sociological Theory,2013,17
S60621485,Sociological Theory,2022,17
S60621485,Sociological Theory,1990,16
S60621485,Sociological Theory,2015,16
S60621485,Sociological Theory,1984,15
S60621485,Sociological Theory,1996,15
S60621485,Sociological Theory,2021,13
S60621485,Sociological Theory,1983,12
S102499938,American Anthropologist,1973,705
S102499938,American Anthropologist,1968,633
S102499938,American Anthropologist,1970,612
S102499938,American Anthropologist,1972,588
S102499938,American Anthropologist,1965,542
S102499938,American Anthropologist,1966,531
S102499938,American Anthropologist,1974,503
S102499938,American Anthropologist,1976,496
S102499938,American Anthropologist,1964,488
S102499938,American Anthropologist,1971,483
S102499938,American Anthropologist,1975,472
S102499938,American Anthropologist,1969,448
S102499938,American Anthropologist,1988,438
S102499938,American Anthropologist,1977,436
S102499938,American Anthropologist,1963,432
S102499938,American Anthropologist,1979,430
S102499938,American Anthropologist,1978,427
S102499938,American Anthropologist,1991,422
S102499938,American Anthropologist,1980,420
S102499938,American Anthropologist,1992,419
S102499938,American Anthropologist,1986,418
S102499938,American Anthropologist,1984,416
S102499938,American Anthropologist,1987,416
S102499938,American Anthropologist,1989,400
S102499938,American Anthropologist,1990,398
S102499938,American Anthropologist,1993,392
S102499938,American Anthropologist,1959,387
S102499938,American Anthropologist,1957,378
S102499938,American Anthropologist,1967,377
S102499938,American Anthropologist,1982,377
S102499938,American Anthropologist,1955,375
S102499938,American Anthropologist,1958,373
S102499938,American Anthropologist,2016,370
S102499938,American Anthropologist,1985,368
S102499938,American Anthropologist,1962,359
S102499938,American Anthropologist,1983,358
S102499938,American Anthropologist,1954,352
S102499938,American Anthropologist,1981,339
S102499938,American Anthropologist,1961,338
S102499938,American Anthropologist,2006,328
S102499938,American Anthropologist,1998,323
S102499938,American Anthropologist,1996,308
S102499938,American Anthropologist,1956,303
S102499938,American Anthropologist,1995,303
S102499938,American Anthropologist,1997,302
S102499938,American Anthropologist,2000,295
S102499938,American Anthropologist,2001,290
S102499938,American Anthropologist,1994,288
S102499938,American Anthropologist,2005,284
S102499938,American Anthropologist,1960,283
S102499938,American Anthropologist,2003,278
S102499938,American Anthropologist,2015,278
S102499938,American Anthropologist,1999,274
S102499938,American Anthropologist,2007,266
S102499938,American Anthropologist,2014,257
S102499938,American Anthropologist,2004,252
S102499938,American Anthropologist,2002,241
S102499938,American Anthropologist,2008,218
S102499938,American Anthropologist,2018,197
S102499938,American Anthropologist,2010,196
S102499938,American Anthropologist,2011,194
S102499938,American Anthropologist,2019,192
S102499938,American Anthropologist,1953,190
S102499938,American Anthropologist,1952,183
S102499938,American Anthropologist,1950,174
S102499938,American Anthropologist,2017,173
S102499938,American Anthropologist,2020,172
S102499938,American Anthropologist,1937,168
S102499938,American Anthropologist,1933,167
S102499938,American Anthropologist,1951,164
S102499938,American Anthropologist,2013,163
S102499938,American Anthropologist,1949,161
S102499938,American Anthropologist,2012,160
S102499938,American Anthropologist,2021,155
S102499938,American Anthropologist,1938,150
S102499938,American Anthropologist,1940,149
S102499938,American Anthropologist,1941,149
S102499938,American Anthropologist,1935,148
S102499938,American Anthropologist,1942,147
S102499938,American Anthropologist,1932,144
S102499938,American Anthropologist,1934,144
S102499938,American Anthropologist,1936,144
S102499938,American Anthropologist,2023,140
S102499938,American Anthropologist,1931,139
S102499938,American Anthropologist,1946,138
S102499938,American Anthropologist,1930,136
S102499938,American Anthropologist,1947,136
S102499938,American Anthropologist,1939,135
S102499938,American Anthropologist,1943,135
S102499938,American Anthropologist,2022,135
S102499938,American Anthropologist,2009,132
S102499938,American Anthropologist,1948,126
S102499938,American Anthropologist,1915,124
S102499938,American Anthropologist,1927,123
S102499938,American Anthropologist,1928,120
S102499938,American Anthropologist,1929,120
S102499938,American Anthropologist,2025,119
S102499938,American Anthropologist,1944,116
S102499938,American Anthropologist,1945,104
S102499938,American Anthropologist,1916,100
S102499938,American Anthropologist,1896,98
S102499938,American Anthropologist,1908,96
S102499938,American Anthropologist,2024,96
S102499938,American Anthropologist,1921,94
S102499938,American Anthropologist,1919,93
S102499938,American Anthropologist,1925,93
S102499938,American Anthropologist,1917,92
S102499938,American Anthropologist,1911,91
S102499938,American Anthropologist,1924,91
S102499938,American Anthropologist,1907,90
S102499938,American Anthropologist,1923,90
S102499938,American Anthropologist,1926,88
S102499938,American Anthropologist,1899,86
S102499938,American Anthropologist,1905,86
S102499938,American Anthropologist,1918,86
S102499938,American Anthropologist,1901,85
S102499938,American Anthropologist,1902,85
S102499938,American Anthropologist,1909,85
S102499938,American Anthropologist,1898,84
S102499938,American Anthropologist,1903,83
S102499938,American Anthropologist,1922,81
S102499938,American Anthropologist,1904,80
S102499938,American Anthropologist,1906,80
S102499938,American Anthropologist,1897,79
S102499938,American Anthropologist,1900,79
S102499938,American Anthropologist,1910,75
S102499938,American Anthropologist,1913,71
S102499938,American Anthropologist,1920,71
S102499938,American Anthropologist,1912,69
S102499938,American Anthropologist,1894,64
S102499938,American Anthropologist,1890,63
S102499938,American Anthropologist,1893,61
S102499938,American Anthropologist,1891,58
S102499938,American Anthropologist,1889,57
S102499938,American Anthropologist,1892,56
S102499938,American Anthropologist,1888,55
S102499938,American Anthropologist,1895,55
S102499938,American Anthropologist,1914,49
S102499938,American Anthropologist,1876,1
S102499938,American Anthropologist,1880,1
S165709033,Current Anthropology,2000,228
S165709033,Current Anthropology,1980,222
S165709033,Current Anthropology,1978,216
S165709033,Current Anthropology,1979,212
S165709033,Current Anthropology,2008,198
S165709033,Current Anthropology,1981,195
S165709033,Current Anthropology,1976,194
S165709033,Current Anthropology,1982,176
S165709033,Current Anthropology,1999,176
S165709033,Current Anthropology,2001,174
S165709033,Current Anthropology,1985,170
S165709033,Current Anthropology,1977,166
S165709033,Current Anthropology,1983,166
S165709033,Current Anthropology,1975,165
S165709033,Current Anthropology,1984,159
