word1,word2,word3,count
conflict,increasingly,conversation,10
increasingly,conversation,hold,10
conversation,hold,new,10
hebrew,history,political,10
news,item,mainly,10
item,mainly,israeli,10
abstract,section,list,10
evidence,archaeology,history,10
economic,growth,law,9
law,development,economics,9
state,west,bank,9
science,criminology,law,9
psychology,computer,security,9
computer,science,physics,9
holocaust,new,york,9
genocide,new,york,9
international,association,genocide,9
genocide,journal,genocide,9
refugee,problem,1947,9
war,new,york,9
political,science,humanity,9
international,criminal,law,9
democracy,state,computer,9
university,press,2013,9
california,press,1993,9
university,press,2018,9
theology,art,history,9
art,history,sociology,9
ethnic,group,social,9
politics,social,psychology,9
identity,political,science,9
science,anthropology,law,9
science,epistemology,law,9
ethnic,group,identity,9
group,identity,music,9
ethnic,group,gender,9
soviet,union,israel,9
palestinian,arab,citizen,9
identity,music,history,9
law,epistemology,philosophy,9
conflict,israeli,palestinian,9
complex,analysis,sociology,9
study,law,politics,9
media,study,social,9
science,psychology,law,9
prime,minister,israel,9
jewish,state,state,9
computer,science,democracy,9
national,security,decision,9
refugee,state,computer,9
criminology,history,sociology,9
human,civil,right,9
east,foreign,policy,9
theology,politics,philosophy,9
law,foreign,policy,9
israel,public,affair,9
public,affair,committee,9
study,sociology,theology,9
situation,middle,east,9
creation,state,israel,9
political,science,advertising,9
africa,middle,east,9
israeli,public,opinion,9
jewish,state,judaism,9
