word,count,upos,ner
present,757,VERB;NOUN;ADJ;PROPN,WORK_OF_ART;EVENT;DATE
change,741,VERB;NOUN;PROPN,LAW;WORK_OF_ART;ORG;EVENT;PERSON
question,735,NOUN;VERB;PROPN;X,WORK_OF_ART;ORG;EVENT;PERSON
movement,734,NOUN;PROPN,LAW;WORK_OF_ART;ORG;EVENT
take,729,VERB;NOUN,WORK_OF_ART
cultural,729,ADJ;NOUN,EVENT;WORK_OF_ART;ORG;FAC;LAW
journal,726,NOUN;PROPN,WORK_OF_ART;LAW;ORG;EVENT;DATE;FAC
part,725,NOUN;PROPN;X,WORK_OF_ART;EVENT;ORG;LAW
unite,723,VERB,ORG;GPE;EVENT;WORK_OF_ART;LAW;FAC
life,719,NOUN;PROPN;VERB,WORK_OF_ART;ORG
role,714,NOUN;PROPN,WORK_OF_ART;LAW;PERSON;ORG
theory,712,NOUN;PROPN,WORK_OF_ART;LAW;ORG;EVENT
judaism,711,PROPN;NOUN,WORK_OF_ART;NORP;ORG
support,709,NOUN;VERB;PROPN,ORG;WORK_OF_ART;LAW
argue,708,VERB,
literature,705,NOUN;PROPN,WORK_OF_ART;ORG
focus,699,VERB;NOUN;PROPN,WORK_OF_ART
many,695,ADJ,WORK_OF_ART;PERCENT;DATE;CARDINAL
nation,692,NOUN;PROPN,LAW;ORG;EVENT;WORK_OF_ART;FAC;NORP
base,687,VERB;NOUN;PROPN,WORK_OF_ART;PRODUCT;ORG
refugee,685,NOUN;PROPN;ADJ,WORK_OF_ART;ORG;FAC;EVENT
force,678,NOUN;PROPN;VERB;X,ORG;WORK_OF_ART;LAW;EVENT
citation,676,NOUN;X;PROPN,WORK_OF_ART;ORG;PERSON;EVENT
party,673,PROPN;NOUN,ORG;PERSON;WORK_OF_ART;LAW
lebanon,670,PROPN,GPE;EVENT;NORP;ORG;LOC;LAW;WORK_OF_ART;PERSON
view,658,NOUN;VERB;PROPN,WORK_OF_ART;ORG;PERSON
woman,658,NOUN;PROPN,WORK_OF_ART;ORG;EVENT;LAW;PERSON
note,653,PROPN;VERB;NOUN,WORK_OF_ART;LAW;PERSON
territory,649,PROPN;NOUN,LOC;GPE;WORK_OF_ART;ORG;EVENT
zionism,636,PROPN;NOUN,NORP;WORK_OF_ART;ORG;FAC
land,636,PROPN;NOUN;VERB,WORK_OF_ART;GPE;LAW;EVENT;LOC;PERSON;ORG
way,634,NOUN;PROPN,WORK_OF_ART;PERSON
result,618,NOUN;VERB,WORK_OF_ART
early,613,ADJ;ADV;PROPN,DATE;WORK_OF_ART;EVENT;TIME;ORG;PERSON
follow,608,VERB;NOUN;PROPN,DATE;WORK_OF_ART;TIME;ORG
show,606,VERB;NOUN,
page,604,PROPN;NOUN,ORG;WORK_OF_ART;DATE;LAW;EVENT;PRODUCT
section,603,NOUN;PROPN,LAW;ORG;WORK_OF_ART
provide,599,VERB,
however,593,ADV;PROPN,PERSON
relationship,587,NOUN;PROPN,WORK_OF_ART
historical,582,ADJ;PROPN,WORK_OF_ART;ORG;FAC;EVENT
become,579,VERB,WORK_OF_ART
event,578,NOUN;PROPN,EVENT;WORK_OF_ART;ORG
culture,578,PROPN;NOUN;X,WORK_OF_ART;ORG;EVENT
three,574,NUM;PROPN,CARDINAL;DATE;WORK_OF_ART;PERCENT;TIME;ORG
legal,574,ADJ,WORK_OF_ART;LAW;ORG;EVENT
general,571,ADJ;PROPN;NOUN;X,ORG;WORK_OF_ART;EVENT;LAW
zionist,568,ADJ;PROPN;NOUN,NORP;WORK_OF_ART;ORG;EVENT
control,566,NOUN;PROPN;VERB,ORG;LAW;EVENT;WORK_OF_ART
memory,565,NOUN;PROPN,WORK_OF_ART;EVENT;ORG
term,559,NOUN;VERB;PROPN,WORK_OF_ART;DATE;ORG
1948,557,NUM,DATE;WORK_OF_ART;EVENT
different,556,ADJ;X,
occupation,553,NOUN;PROPN;X,WORK_OF_ART;EVENT;ORG;LAW;GPE
population,551,NOUN;PROPN,WORK_OF_ART;ORG;EVENT
document,551,NOUN;VERB;PROPN,WORK_OF_ART;ORG;LAW
experience,547,PROPN;NOUN;VERB;X,WORK_OF_ART;ORG
u.s.,545,PROPN,GPE;ORG;WORK_OF_ART;LAW;NORP;EVENT;FAC
self,545,NOUN;PROPN,WORK_OF_ART;LAW;ORG
high,543,ADJ;NOUN;ADV,ORG;WORK_OF_ART;PERSON;LAW;LOC;FAC;EVENT
system,540,NOUN;PROPN,WORK_OF_ART;ORG;LAW;EVENT
lead,539,VERB;PROPN;NOUN;ADJ,EVENT;PRODUCT;WORK_OF_ART
negotiation,538,NOUN;PROPN,EVENT;WORK_OF_ART;LAW;ORG
violence,538,NOUN;PROPN,WORK_OF_ART;LAW;EVENT
narrative,533,NOUN;ADJ;PROPN,WORK_OF_ART;EVENT
find,532,VERB;NOUN,WORK_OF_ART;LAW;ORG
even,530,ADV;ADJ,
perspective,522,NOUN;PROPN,WORK_OF_ART;LAW;ORG
court,519,PROPN;NOUN;VERB,ORG;WORK_OF_ART;PERSON;LAW;PRODUCT
place,518,NOUN;VERB;PROPN;X,WORK_OF_ART;LOC;GPE;EVENT;ORG
form,505,VERB;NOUN;PROPN,WORK_OF_ART;LAW;ORG
second,503,ADJ;ADV;NOUN,ORDINAL;EVENT;DATE;WORK_OF_ART;ORG
iran,501,PROPN;NOUN,GPE;NORP;LAW;EVENT;WORK_OF_ART;ORG;PERSON
organization,498,PROPN;NOUN,ORG;WORK_OF_ART;EVENT;LAW
late,496,ADV;ADJ;PROPN,DATE;WORK_OF_ART;TIME;ORG;FAC
claim,493,VERB;NOUN;PROPN,LAW;WORK_OF_ART
century,488,NOUN;PROPN,DATE;WORK_OF_ART;ORG;EVENT
approach,482,NOUN;VERB;PROPN,ORG;WORK_OF_ART;EVENT
theology,482,PROPN;NOUN,WORK_OF_ART;ORG
democracy,480,NOUN;PROPN,WORK_OF_ART;ORG;EVENT;NORP
effect,480,NOUN;PROPN;VERB,WORK_OF_ART;LAW
1967,478,NUM,DATE;EVENT;LAW;WORK_OF_ART;PERSON;TIME
member,476,NOUN;PROPN,ORG;WORK_OF_ART
order,474,NOUN;PROPN;VERB,WORK_OF_ART;LAW;ORG;EVENT
practice,471,PROPN;NOUN;VERB,WORK_OF_ART;LAW;ORG;EVENT
source,470,NOUN;PROPN;X,ORG;WORK_OF_ART;LAW
important,469,ADJ,
give,465,VERB;NOUN,WORK_OF_ART;DATE
end,464,VERB;NOUN;PROPN,WORK_OF_ART;DATE;LAW;EVENT;ORG;PRODUCT;PERSON
nationalism,464,NOUN;PROPN,WORK_OF_ART;ORG;EVENT;NORP
administration,463,PROPN;NOUN,ORG;LAW;WORK_OF_ART
anthropology,460,PROPN;NOUN,WORK_OF_ART;ORG;EVENT
rather,459,ADV,WORK_OF_ART
minister,458,PROPN;NOUN,WORK_OF_ART;ORG;PERSON
available,457,ADJ,
long,457,ADJ;ADV;VERB;PROPN,PERSON;WORK_OF_ART;EVENT;TIME
write,454,VERB;PROPN;NOUN,WORK_OF_ART;ORG
immigrant,454,PROPN;NOUN;ADJ,NORP;WORK_OF_ART;ORG;GPE
increase,451,VERB;NOUN,
level,450,NOUN;VERB;PROPN,LAW;WORK_OF_ART
interest,447,NOUN;PROPN,WORK_OF_ART;ORG
image,447,NOUN;PROPN,WORK_OF_ART;PERSON;ORG
minority,446,PROPN;NOUN;ADJ,WORK_OF_ART;ORG;EVENT
settler,445,NOUN;PROPN,WORK_OF_ART;ORG;NORP;PERSON;EVENT
german,445,ADJ;PROPN,NORP;WORK_OF_ART;ORG;LANGUAGE;EVENT;LOC
resistance,445,NOUN;PROPN,WORK_OF_ART;ORG;EVENT
own,445,ADJ;VERB;NOUN,WORK_OF_ART
great,441,ADJ;NOUN,GPE;ORG;WORK_OF_ART;PERSON;LOC;EVENT
hebrew,441,PROPN;ADJ;NOUN,LANGUAGE;ORG;WORK_OF_ART;NORP;PERSON;GPE
cambridge,440,PROPN,GPE;ORG;WORK_OF_ART
status,439,NOUN;PROPN,EVENT;LAW;WORK_OF_ART
challenge,438,NOUN;VERB;PROPN,WORK_OF_ART;ORG
collective,437,ADJ;NOUN,EVENT;WORK_OF_ART;LAW
position,436,NOUN;VERB;PROPN,LAW;WORK_OF_ART;ORG
linguistics,435,NOUN;PROPN,WORK_OF_ART;LAW;ORG
recent,432,ADJ,DATE;WORK_OF_ART;ORG;EVENT
scholar,432,NOUN;PROPN,WORK_OF_ART;ORG;PERSON
european,432,ADJ;PROPN,NORP;WORK_OF_ART;ORG;LAW;EVENT
modern,431,ADJ;NOUN;X;PROPN,WORK_OF_ART;ORG;LOC;EVENT;PERSON;NORP;DATE;GPE
president,430,PROPN;NOUN,LAW;ORG;WORK_OF_ART
period,430,NOUN;PROPN,DATE;EVENT;WORK_OF_ART
decision,429,NOUN;PROPN,WORK_OF_ART;EVENT;LAW
explore,429,VERB,
business,429,NOUN;PROPN,ORG;WORK_OF_ART;LAW
individual,428,NOUN;ADJ;PROPN,WORK_OF_ART
leader,427,NOUN;PROPN,WORK_OF_ART
occupy,426,VERB,LOC;WORK_OF_ART;GPE;ORG
struggle,423,VERB;NOUN;PROPN,EVENT;WORK_OF_ART;ORG
abstract,423,NOUN;PROPN;ADJ;VERB,ORG;EVENT;LAW;WORK_OF_ART;PERSON
egypt,422,PROPN,GPE;WORK_OF_ART;ORG;NORP;PERSON;EVENT;LAW;LOC
day,422,NOUN;PROPN,DATE;EVENT;WORK_OF_ART;ORG
publish,422,VERB,WORK_OF_ART
resolution,420,NOUN;PROPN,LAW;ORG;EVENT;WORK_OF_ART
chapter,420,PROPN;NOUN,WORK_OF_ART;LAW;EVENT;ORG;DATE
regard,420,VERB;NOUN;PROPN,ORG;WORK_OF_ART;LAW
justice,420,PROPN;NOUN,WORK_OF_ART;ORG;LAW
discourse,418,NOUN;PROPN,WORK_OF_ART;LAW;ORG
problem,415,NOUN;PROPN,PERSON;WORK_OF_ART;ORG;EVENT
major,414,ADJ;PROPN;NOUN,ORG
soviet,413,PROPN;ADJ,GPE;NORP;WORK_OF_ART;ORG;EVENT;FAC
attitude,410,NOUN;PROPN,WORK_OF_ART;EVENT;ORG
example,407,NOUN,WORK_OF_ART
discuss,404,VERB,
future,403,ADJ;NOUN;PROPN,WORK_OF_ART;DATE
british,403,ADJ;PROPN,WORK_OF_ART;ORG;NORP;EVENT;LAW;GPE
attempt,402,VERB;NOUN;PROPN,WORK_OF_ART
islamic,402,ADJ;PROPN,NORP;ORG;EVENT;GPE;WORK_OF_ART
civil,401,ADJ;NOUN;PROPN,EVENT;ORG;WORK_OF_ART;LAW
education,399,PROPN;NOUN,WORK_OF_ART;ORG;LAW
impact,398,NOUN;PROPN;VERB,WORK_OF_ART;ORG;EVENT;LAW
point,394,VERB;PROPN;NOUN,WORK_OF_ART;ORG;LOC;PERCENT;FAC
much,393,ADJ;ADV,
begin,393,VERB;PROPN;NOUN,PERSON;WORK_OF_ART
vol.,393,PROPN;NOUN;X,WORK_OF_ART;DATE;ORG;LAW;EVENT
ideology,392,NOUN;PROPN,WORK_OF_ART;ORG
material,391,NOUN;PROPN;ADJ,ORG;EVENT;WORK_OF_ART
family,390,PROPN;NOUN,WORK_OF_ART;EVENT;ORG
draw,390,VERB;NOUN,
muslim,386,PROPN;ADJ,NORP;WORK_OF_ART;ORG;GPE;EVENT;PERSON;LOC
interview,386,NOUN;PROPN;VERB,ORG;WORK_OF_ART
subject,385,PROPN;ADJ;NOUN;VERB,WORK_OF_ART;LAW
center,384,PROPN;VERB;NOUN,ORG;WORK_OF_ART;EVENT;FAC
where,383,ADV,
come,381,VERB;PROPN,WORK_OF_ART;DATE;EVENT
islam,381,PROPN;X;ADJ;NOUN,NORP;PERSON;ORG;WORK_OF_ART
syria,380,PROPN,GPE;WORK_OF_ART;NORP;PERSON;EVENT;ORG
2001,380,NUM,DATE;WORK_OF_ART
oxford,379,PROPN,ORG;WORK_OF_ART;GPE
