author_id,author_name,journal_id,journal_name,specific_works,total_works
A5066522558,Meital Balmas,S187348256,Personality and Social Psychology Bulletin (PSPB),1,2
A5066522558,Meital Balmas,S90314269,American Journal of Political Science (AJPS),0,1
A5066531481,Pau Mari‐Klose,S122471516,American Journal of Sociology (AJS),1,1
A5066562993,Seth Anziska,S184885884,Middle East Journal,0,1
A5066562993,Seth Anziska,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5066562993,Seth Anziska,S88529193,Journal of Palestine Studies,2,3
A5066567963,John K. Cooley,S184885884,Middle East Journal,1,1
A5066567963,John K. Cooley,S88529193,Journal of Palestine Studies,2,14
A5066601896,Ronit Lentin,S141739696,Patterns of Prejudice,0,1
A5066601896,Ronit Lentin,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,1
A5066601896,Ronit Lentin,S44753038,European Journal of Cultural Studies,0,1
A5066601896,Ronit Lentin,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5066601896,Ronit Lentin,S88529193,Journal of Palestine Studies,1,1
A5066601896,Ronit Lentin,S96629499,Ethnic and Racial Studies,2,4
A5066613609,James Kritzeck,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5066626954,Edward S. Herman,S161743634,Stanford Law Review,0,1
A5066626954,Edward S. Herman,S161895660,Yale Law Journal,0,1
A5066626954,Edward S. Herman,S83938913,New Left Review,0,1
A5066626954,Edward S. Herman,S88529193,Journal of Palestine Studies,1,1
A5066630765,Ella Shohat,S141739696,Patterns of Prejudice,0,1
A5066630765,Ella Shohat,S88529193,Journal of Palestine Studies,1,3
A5066652096,Annemarie Samuels,S102499938,American Anthropologist,1,3
A5066652096,Annemarie Samuels,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,1
A5066660039,Tahel Stein-Lahad,S47258695,Memory,1,1
A5066700996,Frederic S. Pearson,S176007004,American Political Science Review (APSR),1,4
A5066700996,Frederic S. Pearson,S65076878,Journal of Human Rights (JHR),0,1
A5066735053,Vincent Durac,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,3
A5066735053,Vincent Durac,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5066740892,Arthur Stein,S141739696,Patterns of Prejudice,1,1
A5066740892,Arthur Stein,S143110675,World Politics,0,3
A5066740892,Arthur Stein,S176007004,American Political Science Review (APSR),0,5
A5066740892,Arthur Stein,S96629499,Ethnic and Racial Studies,0,2
A5066746465,Anat Herbst-Debby,S96629499,Ethnic and Racial Studies,1,1
A5066819531,Daniel Blatman,S59071098,Journal of Genocide Research (JGR),1,1
A5066826619,Nir Rotem,S173252385,The British Journal of Sociology (BJS),0,1
A5066826619,Nir Rotem,S43131466,Ethnos: Journal of Anthropology,1,1
A5066826619,Nir Rotem,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,1
A5066836817,Aamir R. Mufti,S88529193,Journal of Palestine Studies,1,1
A5066880426,Mark S. Wagner,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5066880426,Mark S. Wagner,S97631563,Telos,0,1
A5066924430,Claude Berrebi,S176007004,American Political Science Review (APSR),1,1
A5066924430,Claude Berrebi,S184885884,Middle East Journal,0,1
A5066924430,Claude Berrebi,S95650557,Journal of Politics (JOP),2,2
A5066930147,Craig Larkin,S184885884,Middle East Journal,1,1
A5066930147,Craig Larkin,S199726014,British Journal of Middle Eastern Studies (BRISMES),0,1
A5066930147,Craig Larkin,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5066930147,Craig Larkin,S88529193,Journal of Palestine Studies,0,1
A5066943013,Damien Short,S139935717,International Journal of Human Rights (IJHR),1,9
A5066943013,Damien Short,S141739696,Patterns of Prejudice,0,1
A5066943013,Damien Short,S144836642,Memory Studies,0,1
A5066943013,Damien Short,S59071098,Journal of Genocide Research (JGR),0,3
A5067026613,Renate Wise,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5067060467,Fuad Faris,S88529193,Journal of Palestine Studies,1,3
A5067074285,Sergio Herzog,S44706263,Law and Society Review,1,1
A5067076587,Miriam Offer,S452692,Holocaust and Genocide Studies (HGS),1,1
A5067122141,L. Rein,S452692,Holocaust and Genocide Studies (HGS),1,1
A5067164992,John Clammer,S165709033,Current Anthropology,0,5
A5067164992,John Clammer,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,3
A5067164992,John Clammer,S96629499,Ethnic and Racial Studies,1,15
A5067164992,John Clammer,S97919111,Thesis Eleven: Critical Theory and Historical Sociology,0,1
A5067204387,Peter Beattie,S168863142,Journal of Social Issues (JSI),1,2
A5067204387,Peter Beattie,S96629499,Ethnic and Racial Studies,1,1
A5067319434,Robert A. Pape,S176007004,American Political Science Review (APSR),1,3
A5067329176,Kerem Levitas,S184885884,Middle East Journal,1,1
A5067335437,M.E. Yapp,S199726014,British Journal of Middle Eastern Studies (BRISMES),2,2
A5067335437,M.E. Yapp,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5067336405,Liat Ayalon,S168863142,Journal of Social Issues (JSI),1,1
A5067336405,Liat Ayalon,S5866276,Journal of Loss and Trauma,0,2
A5067416960,Richard H. King,S141739696,Patterns of Prejudice,0,12
A5067416960,Richard H. King,S96629499,Ethnic and Racial Studies,4,9
A5067478146,Jack Katzenell,S452692,Holocaust and Genocide Studies (HGS),1,1
A5067488697,Peter Viggo Jakobsen,S184885884,Middle East Journal,1,1
A5067494578,Abdullah Schleifer,S88529193,Journal of Palestine Studies,2,4
A5067515854,Uri Davis,S88529193,Journal of Palestine Studies,15,26
A5067527072,Rafi Nets-Zehngut,S184885884,Middle East Journal,1,1
A5067536540,Shireen Sokar,S5866276,Journal of Loss and Trauma,1,1
A5067589985,Susan Starr Sered,S102499938,American Anthropologist,1,2
A5067589985,Susan Starr Sered,S22506700,Cultural Anthropology,0,1
A5067644116,Daniela Mansbach,S65076878,Journal of Human Rights (JHR),1,1
A5067687164,Allan E. Shapiro,S176007004,American Political Science Review (APSR),2,2
A5067687164,Allan E. Shapiro,S44706263,Law and Society Review,1,1
A5067755322,Larry Davidson,S168863142,Journal of Social Issues (JSI),0,2
A5067755322,Larry Davidson,S88529193,Journal of Palestine Studies,1,4
A5067756519,Michael Collins Dunn,S184885884,Middle East Journal,1,19
A5067756519,Michael Collins Dunn,S88529193,Journal of Palestine Studies,6,10
A5067785556,Dwight Sanderson,S122471516,American Journal of Sociology (AJS),1,24
A5067785556,Dwight Sanderson,S157620343,American Sociological Review (ASR),0,6
A5067798539,David Schonberg,S156235965,International & Comparative Law Quarterly (ICLQ),1,1
A5067807905,Hannah Ayalon,S173252385,The British Journal of Sociology (BJS),0,1
A5067807905,Hannah Ayalon,S96629499,Ethnic and Racial Studies,1,1
A5067824244,Amy Ross,S38600022,Human Rights Quarterly,1,1
A5067824244,Amy Ross,S59071098,Journal of Genocide Research (JGR),0,1
A5067854842,Dorthe K Thomsen,S29984966,Journal of Personality and Social Psychology (JPSP),1,1
A5067854842,Dorthe K Thomsen,S47258695,Memory,0,14
A5067886808,Avi Raz,S87435064,International Journal of Middle East Studies (IJMES),2,2
A5067942697,David W. Minar,S122471516,American Journal of Sociology (AJS),0,1
A5067942697,David W. Minar,S157620343,American Sociological Review (ASR),1,3
A5067942697,David W. Minar,S176007004,American Political Science Review (APSR),0,1
A5067959241,Ibtisam Marey-Sarwan,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",1,1
A5067970229,Judith Okely,S43131466,Ethnos: Journal of Anthropology,0,1
